,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
2-1-0-1-1-1,0.000143906539243967,0.000219416352502344,0,3.94651397245333e-05,0.000139180605815219,7.57174225789354e-05
2-1-0-1-1-2,1.30824126585425e-05,1.99469411365767e-05,0,3.58773997495757e-06,1.26527823468381e-05,1.3766804105261e-05
2-1-0-1-2-0,3.92472379756275e-05,5.98408234097301e-05,0,1.07632199248727e-05,7.59166940810284e-05,0
2-1-0-1-2-1,1.30824126585425e-05,1.99469411365767e-05,0,3.58773997495757e-06,2.53055646936761e-05,6.88340205263049e-06
2-1-0-2-0-0,0.0310053180007457,0.0472742504936868,0,0.0172319150997212,0,0
2-1-0-2-0-1,0.00102042818736631,0.00155586140865298,0,0.000591977095868,0,0.000536905360105178
2-1-0-2-0-2,0.000117741713926882,0.00017952247022919,0,7.17547994991515e-05,0,0.000130784638999979
2-1-0-2-1-0,0.000654120632927124,0.000997347056828835,0,0.000380300437345503,0.000632639117341903,0
2-1-0-2-1-1,0.000143906539243967,0.000219416352502344,0,7.89302794490666e-05,0.000139180605815219,7.57174225789354e-05
2-1-0-2-2-0,9.15768886097974e-05,0.000139628587956037,0,6.09915795742788e-05,0.000177138952855733,0
2-1-0-2-2-1,1.30824126585425e-05,1.99469411365767e-05,0,7.17547994991515e-06,2.53055646936761e-05,6.88340205263049e-06
2-1-1-0-0-0,0.00116433472661028,0.00177527776115533,0.000988724101538632,0,0,0
2-1-1-0-0-1,6.54120632927124e-05,9.97347056828835e-05,5.5546297839249e-05,0,0,3.44170102631525e-05
2-1-1-0-1-0,3.92472379756275e-05,5.98408234097301e-05,3.33277787035494e-05,0,3.79583470405142e-05,0
2-1-1-0-2-0,5.232965063417e-05,7.97877645463068e-05,4.44370382713992e-05,0,0.000101222258774705,0
2-1-1-1-0-0,0.00228942221524494,0.00349071469890092,0.00194412042437372,0.000627854495617576,0,0
2-1-1-1-0-1,0.00015698895190251,0.00023936329363892,0.000133311114814198,4.30528796994909e-05,0,8.26008246315659e-05
2-1-1-1-0-2,5.232965063417e-05,7.97877645463068e-05,4.44370382713992e-05,1.43509598998303e-05,0,5.50672164210439e-05
2-1-1-1-1-0,0.000405554792414817,0.000618355175233878,0.000344387046603344,0.000111219939223685,0.00039223625275198,0
2-1-1-1-1-1,3.92472379756275e-05,5.98408234097301e-05,3.33277787035494e-05,1.07632199248727e-05,3.79583470405142e-05,2.06502061578915e-05
2-1-1-1-1-2,1.30824126585425e-05,1.99469411365767e-05,1.11092595678498e-05,3.58773997495757e-06,1.26527823468381e-05,1.3766804105261e-05
2-1-1-1-2-0,6.54120632927124e-05,9.97347056828835e-05,5.5546297839249e-05,1.79386998747879e-05,0.000126527823468381,0
2-1-1-2-0-0,0.00310053180007457,0.00472742504936868,0.0026328945175804,0.00179745772745375,0,0
2-1-1-2-0-1,0.000248565840512307,0.000378991881594957,0.000211075931789146,0.000150685078948218,0,0.000130784638999979
2-1-1-2-0-2,3.92472379756275e-05,5.98408234097301e-05,3.33277787035494e-05,2.15264398497454e-05,0,4.1300412315783e-05
2-1-1-2-1-0,0.000143906539243967,0.000219416352502344,0.000122201855246348,0.000100456719298812,0.000139180605815219,0
2-1-1-2-1-1,1.30824126585425e-05,1.99469411365767e-05,1.11092595678498e-05,7.17547994991515e-06,1.26527823468381e-05,6.88340205263049e-06
2-1-1-2-2-0,2.6164825317085e-05,3.98938822731534e-05,2.22185191356996e-05,2.15264398497454e-05,5.06111293873523e-05,0
2-1-2-0-0-0,0.000784944759512549,0.0011968164681946,0.00147753152252402,0,0,0
2-1-2-0-0-1,3.92472379756275e-05,5.98408234097301e-05,6.66555574070988e-05,0,0,2.06502061578915e-05
2-1-2-0-1-0,3.92472379756275e-05,5.98408234097301e-05,6.66555574070988e-05,0,3.79583470405142e-05,0
2-1-2-0-2-0,2.6164825317085e-05,3.98938822731534e-05,5.5546297839249e-05,0,5.06111293873523e-05,0
2-1-2-1-0-0,0.000575626156975869,0.000877665410009375,0.00119980003332778,0.000157860558898133,0,0
2-1-2-1-0-1,5.232965063417e-05,7.97877645463068e-05,9.99833361106482e-05,1.43509598998303e-05,0,2.7533608210522e-05
2-1-2-1-0-2,2.6164825317085e-05,3.98938822731534e-05,5.5546297839249e-05,7.17547994991515e-06,0,2.7533608210522e-05
2-1-2-1-1-0,0.000117741713926882,0.00017952247022919,0.000244403710492696,3.22896597746182e-05,0.000113875041121543,0
2-1-2-1-1-2,1.30824126585425e-05,1.99469411365767e-05,2.22185191356996e-05,3.58773997495757e-06,1.26527823468381e-05,1.3766804105261e-05
2-1-2-1-2-0,3.92472379756275e-05,5.98408234097301e-05,7.77648169749486e-05,1.07632199248727e-05,7.59166940810284e-05,0
